MarathonResultInSecondsNormalized,ImprovementRate,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.276189221,0.049076303,42195,0.235394624,-21,42195,0.218831212,-49,N
0.212482759,0.036403406,10000,0.189019757,-51,15000,0.163138949,-4,N
0.192887514,0.041423371,21097,0.158795818,-84,15000,0.144132469,-20,N
0.258551724,0.097101252,21097,0.175456739,-35,15000,0.147444204,-20,N
0.15044453,0.001711455,42195,0.169172414,-49,15000,0.128293737,-55,N
0.246409277,0.044123938,21097,0.190137414,-21,42195,0.214433264,-49,N
0.232482759,0.101740718,5000,0.083269672,-7,21097,0.178214409,-28,N
0.16497874,-0.00517987,42195,0.193586207,-49,21097,0.146731012,-35,Y
0.242830087,-0.077810762,42195,0.238426429,-14,42195,0.402855267,-98,Y
0.177655172,0.042759962,21097,0.129150868,-35,10000,0.140639553,-31,N
0.178068966,0.019945823,21097,0.12133747,-35,10000,0.194908815,-16,N
0.21462069,0.025137959,21097,0.164081351,-35,21097,0.214884111,-28,N
0.174965517,0.044992957,21097,0.142594508,-35,15000,0.117350612,-20,N
0.2558171,0.085819466,21097,0.170515914,-98,15000,0.169479354,-20,N
0.168658987,0.02668314,21097,0.136734459,-84,15000,0.147217235,-20,N
0.167761886,0.016668676,42195,0.176137931,-49,21097,0.126048489,-35,N
0.189161776,0.042568297,21097,0.142019993,-84,15000,0.151166966,-20,N
0.110344828,0.035535143,21097,0.085832472,-35,15000,0.063786897,-20,N
0.167172414,0.043121672,21097,0.134206595,-35,15000,0.113894888,-20,N
0.188480866,-0.009196114,42195,0.255172414,-49,21097,0.140181547,-35,Y
0.21462069,0.090485843,21097,0.170515914,-35,15000,0.07775378,-20,N
0.173024892,-0.146619626,21097,0.630430658,-14,21097,0.008858377,-98,Y
0.139448276,0.034783143,21097,0.11501781,-35,15000,0.094312455,-20,N
0.169724138,0.059710982,21097,0.121682179,-35,15000,0.098344132,-20,N
0.152344828,0.083788938,42195,0.056577697,-49,15000,0.080534083,-56,N
0.118051797,-0.00552638,15000,0.094673595,-21,42195,0.152482759,-28,Y
0.219862069,0.0506689,21097,0.148799265,-35,10000,0.189587074,-21,N
0.13862069,0.020946957,21097,0.108008733,-35,21097,0.127338732,-28,N
0.125448276,0.033858598,21097,0.104561645,-35,15000,0.078617711,-20,N
0.235724138,0.073663598,10000,0.212386018,-51,15000,0.111735061,-4,N
0.859645563,0.097387258,42195,0.824530899,-14,42195,0.69998571,-47,N
0.590219117,0.131377889,42195,0.563896405,-21,21097,0.353786051,-84,N
0.690882035,0.05776952,21097,0.760576741,-14,21097,0.505648289,-91,N
0.669430768,0.376072497,15000,0.343700504,-6,15000,0.243016037,-36,N
0.469934941,-0.02049143,15000,0.394259819,-21,42195,0.586592923,-28,Y
0.682426948,0.060010437,42195,0.763964356,-14,21097,0.480868666,-84,N
0.583623579,0.048813074,15000,0.481495468,-21,42195,0.588125541,-28,N
0.465290568,0.188504654,42195,0.374797062,-21,10000,0.178774767,-49,N
0.623888674,0.329165446,21097,0.356543721,-84,10000,0.232902736,-16,N
0.379241379,0.117743994,21097,0.228541882,-35,10000,0.294452888,-16,N
0.611368688,0.131518856,42195,0.611209896,-21,15000,0.348489769,-21,N
0.712121212,0.145470864,42195,0.689053104,-14,21097,0.444247592,-98,N
0.740056818,0.32029818,21097,0.390325175,-98,15000,0.449192101,-20,N
0.672482759,0.237622476,15000,0.398603207,-91,15000,0.471117358,-14,N
0.761517241,0.323797155,21097,0.582317073,-28,10000,0.2931231,-23,N
0.522567558,0.149085705,21097,0.348040905,-84,15000,0.398922801,-20,N
0.760417472,0.130192838,10000,0.860472248,-56,21097,0.399977019,-28,N
0.76119403,-0.042500397,42195,0.804561268,-21,42195,0.802827586,-49,Y
0.839678372,0.57889574,10000,0.229030213,-14,10000,0.292535051,-24,N
0.500425203,0.172274013,15000,0.305618707,-21,21097,0.350683672,-63,N
0.705836877,0.173799815,42195,0.679034483,-49,21097,0.385039642,-35,N
