Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass,RunnerID,MarathonDate,MarathonResult,RaceOneResult,RaceOneResultInSeconds,RaceTwoResult,RaceTwoResultInSeconds
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,10000,0.16158022842164388,-21.0,מרוץ ראשון לציון ,15000,0.2003897369275739,-21.0,13606,0.3398539218799619,0.158868939205353,,1689.0,2017-03-17,03:46:46,00:44:59,2699,01:05:35,3935
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.27025065963060685,-49.0,מרוץ אייל ,15000,0.14730796841349605,-55.0,11875,0.22560062504069275,0.01682131101864129,,1693.0,2017-02-24,03:17:55,03:25:37,12337,01:03:20,3800
Jerusalem Marathon,מרתון סמסונג תל-אביב ,21097,0.30979868333174315,-14.0,חצי מרתון עמק המעיינות,21097,0.3272434792600253,-84.0,13962,0.3704004329004329,0.05187935160454871,,1710.0,2018-03-09,03:52:42,01:54:29,6869,01:52:43,6763
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.2798359268181522,-21.0,מרתון טבריה Winner ,42195,0.3348284960422164,-49.0,16751,0.5395998729755478,0.2322676615453635,,1711.0,2017-03-17,04:39:11,03:31:48,12708,03:41:56,13316
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.23213433832649558,-21.0,מרתון טבריה Winner ,42195,0.3495382585751979,-49.0,13978,0.3634804699904732,0.07264417153962643,,1712.0,2016-03-18,03:52:58,01:40:55,6055,03:45:39,13539
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2508330460760657,-35.0,מרוץ כוכב יאיר צור יגאל ,10000,0.2570138664946791,-28.0,16097,0.5182717678100264,0.264348311524654,,1714.0,2017-01-06,04:28:17,01:41:38,6098,00:47:00,2820
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2295760082730093,-35.0,מרוץ אייל ,15000,0.20459440057430006,-20.0,12823,0.30230870712401053,0.08522350270035584,,1727.0,2017-01-06,03:33:43,01:38:33,5913,01:09:59,4199
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.2202688728024819,-84.0,מרוץ אייל ,15000,0.1962670495333812,-20.0,12548,0.2694185819389283,0.061150620770996755,,1729.0,2018-02-23,03:29:08,01:37:12,5832,01:09:01,4141
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.23819372630127542,-35.0,מרוץ חבר,15000,0.19865494050698396,-56.0,13060,0.3179419525065963,0.09951761910246659,,1734.0,2017-01-06,03:37:40,01:39:48,5988,01:18:45,4725
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2593358611972883,-35.0,מרוץ נהריה ,5000,0.12165129556433904,-42.0,16146,0.5215039577836411,0.33101037940282746,,1740.0,2017-01-06,04:29:06,01:42:52,6172,00:22:22,1342
Jerusalem Marathon ,מרתון טבריה Winner ,42195,0.39485488126649076,-70.0,"המרתון המדברי, אילת ",21097,0.22622538751571009,-49.0,14964,0.42610352492854875,0.11556339053744835,,1754.0,2017-03-17,04:09:24,03:57:06,14226,01:53:47,6827
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.25237467018469656,-49.0,מרוץ אייל ,15000,0.1628140703517588,-55.0,12309,0.2538576730255876,0.0462633027573599,,1756.0,2017-02-24,03:25:09,03:21:06,12066,01:05:08,3908
