@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1295,14152,0.41599652249510977,0.10401454121877851,21097,6212,0.26393197747903024,-84.0,42195,13796,0.3600319850736323,-693.0
1297,18100,0.7020212997174528,0.334221716524431,10000,3319,0.35345472686455476,-328.0,10000,3586,0.3821444395214887,-364.0
1299,15225,0.4558306277056277,0.08673720009417046,42195,14058,0.4030150753768844,-378.0,21097,6832,0.3351717798460301,-84.0
1300,13738,0.34823753572562716,0.04197158700402104,42195,13388,0.3550344827586207,-70.0,21097,6156,0.25749741468459153,-35.0
1303,12625,0.292230382682644,0.06880954693895541,21097,5958,0.23474663908996898,-84.0,15000,4267,0.2120950323974082,-20.0
1306,12017,0.26048275862068965,0.10190126106603692,21097,5367,0.166839021027232,-35.0,15000,3838,0.15032397408207343,-20.0
1307,12344,0.2830344827586207,0.09372985877280016,21097,5695,0.2045271745375158,-35.0,15000,4003,0.17408207343412527,-20.0
1309,12431,0.2652270562083201,-0.01817699048357968,42195,12154,0.2699310344827586,-70.0,42195,12976,0.296877058901041,-294.0
1311,14877,0.4663316582914573,0.14797966516165506,42195,12515,0.29482758620689653,-49.0,42195,13659,0.34187640005270786,-294.0
1312,11061,0.19205969716728247,0.06750451441549672,21097,5016,0.12650810065494658,-84.0,21097,5019,0.12260226484862491,-28.0
1316,17603,0.6166801948051948,0.34319566665140944,10000,3162,0.2442733758918513,-129.0,15000,4565,0.30269568041571937,-270.0
1318,13963,0.36252778659892027,0.09768407139047819,42195,13491,0.3591805179744878,-21.0,01:44:55,21097,6295,0.17050691244239632,-98.0
