ImprovementRate,MarathonResultInSeconds,MarathonResultInSecondsNormalized,RaceOneKM,RaceOneResultInSeconds,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSeconds,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.185265666,14738,0.448137931,21097,6468,0.293347122,-35,15000,4408,0.232397408,-20,N
0.143347457,14049,0.40062069,10000,2841,0.146645557,-105,42195,14054,0.367900909,-189,N
0.095507659,13455,0.359655172,10000,2900,0.250229991,-7,21097,6335,0.278065035,-28,N
0.241121187,15446,0.470779221,42195,11570,0.228935739,-14,21097,5920,0.230380329,-84,N
0.142212558,15446,0.470779221,42195,12508,0.29689198,-14,42195,13927,0.360241346,-343,N
-0.056145705,12525,0.295517241,21097,7616,0.425255659,-35,42195,12566,0.278070234,-329,Y
-0.076305856,13299,0.354198363,10000,3574,0.316894233,-91,42195,16856,0.544114205,-49,Y
0.133488915,12570,0.287978353,21097,5572,0.190394117,-84,10000,2657,0.118584759,-259,N
0.355046011,14970,0.74450279,21097,6729,0.416557162,-238,42195,14870,0.362356396,-126,N
-0.051572207,14644,0.405779613,5000,2475,0.584357084,-343,42195,13484,0.330346554,-21,Y
0.09534251,14375,0.388694824,42195,13714,0.345500066,-364,21097,6097,0.241204561,-21,N
0.084746917,13599,0.339409336,42195,12368,0.284689655,-70,21097,5870,0.224635183,-35,N
0.068018186,13405,0.327087964,42195,12143,0.254967143,-21,42195,12056,0.263172414,-49,N
-0.069681082,12277,0.265326633,21097,6581,0.30633115,-84,42195,13990,0.36368428,-259,Y
0.127601664,12423,0.276613838,10000,2672,0.140957447,-100,10000,2570,0.157066903,-228,N
0.208860642,14266,0.628979324,42195,14612,0.403747221,-245,42195,14491,0.436490143,-21,N
0.063123169,11669,0.236482759,21097,5436,0.174767322,-35,21000,5702,0.171951858,-259,N
0.340638714,13836,0.558418116,5000,1442,0.176050753,-14,21097,6607,0.259508051,-252,N
0.025317262,11972,0.25737931,21097,5755,0.188452744,-28,42195,12530,0.275671353,-336,N
0.02431321,11273,0.209172414,15000,3784,0.142548596,-55,21097,5726,0.227169811,-224,N
0.195167478,14455,0.437948272,21097,6340,0.27524844,-112,21097,6109,0.210313148,-252,N
0.017686986,13222,0.32034632,42195,12026,0.265147185,-61,42195,13611,0.340171483,-296,N
0.11006081,15105,0.485039484,42195,15561,0.422043707,-462,42195,13314,0.32791364,-315,N
0.058907603,13022,0.322922304,15000,4278,0.256089639,-21,42195,12474,0.271939761,-392,N
0.126122793,13029,0.330275862,15000,4511,0.165444819,-273,21097,6114,0.24286132,-42,N
0.229081768,14214,0.415075377,21097,5690,0.20395266,-84,15000,3961,0.168034557,-20,N
0.079670445,13613,0.346793831,42195,13088,0.338911831,-14,21097,5615,0.195334942,-84,N
0.037413292,12554,0.286741399,42195,13241,0.344896552,-49,15000,4352,0.153759663,-105,N
0.412185394,14007,0.586478503,15000,4085,0.235368043,-6,10000,2464,0.113218175,-11,N
0.064133881,14642,0.405652588,42195,13011,0.322071898,-21,42195,13474,0.360965517,-49,N
0.023389055,13084,0.311011905,42195,12974,0.299714195,-357,42195,12409,0.275531504,-21,N
0.078195811,11862,0.25009056,21097,5406,0.171320234,-84,21097,5416,0.172469263,-364,N
0.003974064,11946,0.256176194,42195,12132,0.235263192,-728,42195,12432,0.269141068,-49,N
-0.051135539,13463,0.24082232,42195,14541,0.399986823,-245,21097,5670,0.183928895,-48,Y
0.125108724,13210,0.319534632,21097,5560,0.189015282,-98,21097,6389,0.199836535,-259,N
0.101672832,13593,0.345441017,21097,5631,0.312654145,-14,21097,5437,0.174882225,-84,N
-0.077461554,14179,0.385078463,42195,12787,0.317104977,-14,42195,14138,0.607975057,-98,Y
0.020224509,12685,0.277704572,42195,12392,0.252349346,-21,42195,12334,0.262610782,-49,N
0.118196016,13712,0.35349026,21097,5859,0.223371251,-98,15000,4151,0.247217235,-20,N
0.112103151,11640,0.234482759,21097,5317,0.161093876,-35,5000,1194,0.083665339,-30,N
-0.017462707,11816,0.229686896,42195,13375,0.233221042,-98,42195,12311,0.261078164,-315,Y
0.066502547,14120,0.381087662,42195,14451,0.43765848,-14,21097,5872,0.19151175,-119,N
0.095702735,12224,0.252080025,21097,5512,0.151338536,-21,15000,3695,0.161416044,-21,N
0.110912679,13126,0.336965517,15000,4123,0.191360691,-55,42195,12306,0.260744986,-309,N
-0.135216776,12524,0.159713224,15000,5402,0.375521958,-6,21000,6107,0.214338043,-239,Y
0.081518972,16444,0.52010162,42195,15572,0.520061848,-21,42195,13418,0.357103448,-49,N
0.064186386,14425,0.435774832,21097,6703,0.320349305,-84,42195,14371,0.422827586,-329,N
0.05681696,13580,0.368275862,21097,5859,0.24616029,-63,42195,14047,0.376757513,-301,N
0.109318063,15653,0.484780844,21097,6465,0.293002413,-98,42195,15465,0.45792315,-259,N
0.060754683,14615,0.449539955,42195,14101,0.406339389,-364,10000,3052,0.371231156,-349,N
0.242325753,15188,0.479172414,15000,4585,0.18054837,-91,21000,6860,0.29314495,-203,N
0.112350197,15694,0.475952036,21097,7034,0.332521197,-21,42195,14316,0.394682482,-49,N
0.024130266,15253,0.495761791,10000,5042,0.597258731,-115,15000,5197,0.34600432,-353,N
0.259696043,15785,0.520344828,15000,4994,0.316774658,-55,10000,3100,0.204522912,-36,N
0.154052008,15686,0.527131783,21097,7037,0.358726876,-84,15000,4932,0.387432675,-20,N
0.132193961,13484,0.358639351,15000,4004,0.211594674,-21,21097,6015,0.241296105,-63,N
-0.009284569,13025,0.334347606,42195,13994,0.364496666,-343,42195,13020,0.322767685,-21,Y
0.177440226,14446,0.428,21097,6392,0.284614501,-35,10000,3194,0.216505047,-70,N
0.095072856,16148,0.560602768,42195,15689,0.472149889,-343,42195,14781,0.458909934,-21,N
0.060582052,16396,0.490287854,42195,16783,0.541632264,-203,15000,5519,0.317779339,-175,N
0.017977925,13647,0.379410273,42195,13446,0.359034483,-413,42195,13853,0.363830213,-364,N
0.040285363,13222,0.343586207,21097,6029,0.242904745,-35,42195,13851,0.363696941,-329,N
-0.063454596,15025,0.479243643,10000,4317,0.476865672,-582,10000,4267,0.608530806,-61,Y
0.119371313,14128,0.41425777,10000,3554,0.305210918,-343,10000,3363,0.284561996,-21,N
0.198368751,12935,0.327827284,15000,4198,0.130496637,-126,21097,5280,0.128420429,-238,N
0.031358699,13568,0.365133359,21097,7259,0.397324307,-140,21000,6641,0.270225013,-203,N
0.123770097,12153,0.271172933,15000,3821,0.187971275,-104,10000,2430,0.106834397,-11,N
0.084011293,14094,0.411794537,21097,6672,0.316787315,-84,15000,4661,0.338779174,-20,N
0.129504148,14714,0.446482759,21097,6603,0.290517493,-315,42195,13547,0.343439728,-49,N
0.100049392,12513,0.294689655,21097,5739,0.209582902,-35,15000,4042,0.179697624,-20,N
0.074592076,13593,0.37549808,10000,3602,0.317629179,-464,21097,6538,0.284182828,-264,N
0.221601247,15283,0.459753788,21097,6015,0.241296105,-98,15000,4083,0.235008977,-20,N
0.048380993,15876,0.484026675,42195,14711,0.453498261,-21,42195,14298,0.417793103,-49,N
0.047637064,12597,0.303339854,10000,2681,0.180211147,-336,42195,13129,0.331194434,-28,N
0.159655302,13606,0.339853922,10000,2699,0.160007503,-21,15000,3935,0.200389737,-21,N
0.020546096,11875,0.234248164,42195,12337,0.282551724,-49,15000,3800,0.144852412,-55,N
0.17803881,15023,0.479098747,10000,3345,0.317219589,-300,10000,3079,0.284900285,-49,N
0.057173484,13783,0.351095586,10000,2606,0.227256511,-147,42195,13943,0.360587693,-217,N
0.05176451,14072,0.369450619,21097,6217,0.264506492,-105,42195,14099,0.370865727,-259,N
0.042473577,14803,0.415878057,42195,13941,0.360455923,-364,42195,14191,0.386353035,-70,N
0.081337022,13568,0.367448276,21097,6699,0.319889693,-35,10000,3345,0.252332815,-259,N
-0.065226244,14581,0.401778342,5000,2445,0.547722772,-364,42195,14190,0.3862864,-70,Y
0.187743387,17113,0.556102617,21000,8112,0.424175824,-245,21097,6829,0.312542637,-21,N
-0.066983401,13962,0.370400433,21097,6869,0.547524189,-14,21097,6763,0.327243479,-84,Y
0.215241849,16751,0.539599873,42195,12708,0.298647082,-21,42195,13316,0.350068966,-49,N
0.072884644,13978,0.362893662,21097,6055,0.237111393,-21,42195,13539,0.342906644,-49,N
