@relation WekaTry2

@attribute ﻿MarathonResultInSecondsNormalized numeric
@attribute ImprovementRate numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {Y,N}

@data
0.499746,0.18478,21097,0.317477,-84,21097,0.312457,-28,N
0.466138,0.180161,21097,0.297943,-35,15000,0.27401,-20,N
0.451875,0.088994,15000,0.245209,-21,42195,0.480552,-28,N
0.453448,0.202499,21097,0.322188,-35,10000,0.179711,-16,N
0.458812,0.146729,21097,0.214857,-21,42195,0.40931,-49,N
0.380642,0.179929,15000,0.218851,-104,21097,0.182575,-8,N
0.237186,0.025436,42195,0.237586,-49,21097,0.185913,-35,N
0.221103,0.062002,21097,0.190164,-35,10000,0.12804,-16,N
0.256683,0.063484,21097,0.206366,-84,21097,0.180032,-28,N
0.217779,0.07506,21097,0.136964,-84,15000,0.148474,-20,N
0.262312,0.035066,42195,0.27731,-49,21097,0.17718,-35,N
0.272912,0.143586,21097,0.124899,-84,15000,0.133752,-20,N
0.209375,0.035488,21097,0.169482,-84,10000,0.178292,-28,N
0.370536,0.133631,21097,0.221129,-21,42195,0.252682,-49,N
0.246343,0.010377,42195,0.22718,-21,42195,0.244752,-49,N
0.168899,0.025345,42195,0.163588,-14,21097,0.123521,-84,N
0.248207,0.090837,21097,0.211651,-35,5000,0.103088,-30,N
0.152865,-0.135155,42195,0.1992,-47,15000,0.37684,-57,Y
0.224444,0.000238,21097,0.175342,-84,15000,0.27307,-20,N
0.222207,0.114957,21097,0.163277,-35,5000,0.051222,-31,N
0.366483,-0.109739,10000,0.469795,-51,15000,0.482649,-4,Y
0.258069,0.092032,21097,0.180742,-35,15000,0.151332,-20,N
0.283371,0.13347,42195,0.287967,-21,10000,0.011834,-27,N
0.214552,0.107674,21097,0.137769,-35,10000,0.075988,-16,N
0.276189,0.049076,42195,0.235395,-21,42195,0.218831,-49,N
0.212483,0.036403,10000,0.18902,-51,15000,0.163139,-4,N
0.192888,0.041423,21097,0.158796,-84,15000,0.144132,-20,N
0.258552,0.097101,21097,0.175457,-35,15000,0.147444,-20,N
0.150445,0.001711,42195,0.169172,-49,15000,0.128294,-55,N
0.246409,0.044124,21097,0.190137,-21,42195,0.214433,-49,N
0.232483,0.101741,5000,0.08327,-7,21097,0.178214,-28,N
0.164979,-0.00518,42195,0.193586,-49,21097,0.146731,-35,Y
0.24283,-0.077811,42195,0.238426,-14,42195,0.402855,-98,Y
0.177655,0.04276,21097,0.129151,-35,10000,0.14064,-31,N
0.178069,0.019946,21097,0.121337,-35,10000,0.194909,-16,N
0.214621,0.025138,21097,0.164081,-35,21097,0.214884,-28,N
0.174966,0.044993,21097,0.142595,-35,15000,0.117351,-20,N
0.255817,0.085819,21097,0.170516,-98,15000,0.169479,-20,N
0.168659,0.026683,21097,0.136734,-84,15000,0.147217,-20,N
0.167762,0.016669,42195,0.176138,-49,21097,0.126048,-35,N
0.189162,0.042568,21097,0.14202,-84,15000,0.151167,-20,N
0.110345,0.035535,21097,0.085832,-35,15000,0.063787,-20,N
0.167172,0.043122,21097,0.134207,-35,15000,0.113895,-20,N
0.188481,-0.009196,42195,0.255172,-49,21097,0.140182,-35,Y
0.214621,0.090486,21097,0.170516,-35,15000,0.077754,-20,N
0.173025,-0.14662,21097,0.630431,-14,21097,0.008858,-98,Y
0.139448,0.034783,21097,0.115018,-35,15000,0.094312,-20,N
0.169724,0.059711,21097,0.121682,-35,15000,0.098344,-20,N
0.152345,0.083789,42195,0.056578,-49,15000,0.080534,-56,N
0.118052,-0.005526,15000,0.094674,-21,42195,0.152483,-28,Y
0.219862,0.050669,21097,0.148799,-35,10000,0.189587,-21,N
0.138621,0.020947,21097,0.108009,-35,21097,0.127339,-28,N
